feature,importance
area_sqrt,0.16169934
Area,0.14680627
poly_9,0.114116
poly_8,0.094570145
skeleton_length,0.08939063
area_log,0.048505858
area_peri_product,0.04148543
distance_average,0.040369708
poly_11,0.032383323
pj,0.03175205
distance_10%,0.02966496
poly_7,0.026608633
corrected_theoretical_led_count,0.02361703
distance_area_ratio,0.017751567
alternative_skeleton_length,0.012225003
final_theoretical_led_count,0.0082210675
distance_90%,0.0076386086
area_skeleton_product,0.0072428845
distance_25%,0.0064899195
theoretical_led_count,0.0054989574
poly_3,0.0044034547
skeleton_density_winsor,0.0037831909
index,0.0023195383
area_skeleton_product_winsor,0.0022322277
complexity,0.0022297439
distance_75%,0.0019917875
distance_std,0.0019482634
distance_mode,0.0019261201
poly_5,0.0018939598
distance_sum_winsor,0.0017640702
scale_ratio_winsor,0.001719897
scale_ratio,0.0016485372
led_area_density,0.0015621653
endpoint_skeleton_ratio_winsor,0.0012991898
Peri,0.0012712235
poly_12,0.0011380678
distance_area_ratio_winsor,0.0010879135
distance_sum,0.0010691558
skeleton_alternative_diff,0.0010299191
emission_width,0.001002076
poly_4,0.000988808
zunguri,0.00093381194
distance_count_winsor,0.0009151104
distance_max_gradient,0.0009092317
final_skeleton_length,0.0008889949
poly_10,0.000834282
skeleton_density,0.0008292555
distance_iqr,0.0006784415
endpoint_skeleton_ratio,0.0006468443
distance_skeleton_ratio,0.0006288018
distance_mode_ratio_winsor,0.0005695169
skeleton_peri_ratio,0.0005547554
distance_skew_winsor,0.00054833264
distance_width_variance,0.000470839
distance_peri_ratio,0.00046827082
distance_mode_winsor,0.00043324844
branching_complexity,0.00042802258
intersection3_winsor,0.0004228289
rect_efficiency,0.00031652415
distance_mode_ratio,0.00030770944
distance_skew,0.00030534185
poly_14,0.00029796053
branch_endpoint_ratio,0.0002808506
endpoint_density,0.00027321573
estimated_width,0.00027197995
distance_kurtosis,0.00025666345
estimated_pitch,0.0002375712
intersection3,0.00019777185
intersection_density,0.00019510396
distance_count,0.0001912265
distance_gradient_winsor,0.0001896024
distance_kurtosis_winsor,0.00012841795
skeleton_peri_ratio_winsor,0.0001253277
peri_sqrt,0.00012393644
distance_outlier_ratio_winsor,0.000119690216
led_area_estimate,0.00011814583
Area_rank,0.00011660837
area_peri_product_winsor,9.718474e-05
distance_unique_ratio_winsor,9.440128e-05
skeleton_area_ratio,8.264213e-05
distance_max_gradient_winsor,6.403002e-05
skeleton_sqrt,5.781155e-05
endpoint_winsor,4.290093e-05
area_based_skeleton,0.0
non_uniform_columns,0.0
uniform_pitch,0.0
led_area_estimate_winsor,0.0
peri_based_skeleton,0.0
led_peri_estimate_winsor,0.0
tumeru,0.0
branch_points,0.0
led_skeleton_estimate_winsor,0.0
corrected_skeleton_length,0.0
branch_correction_factor,0.0
is_complex_character,0.0
peri_log,0.0
peri_skeleton_product,0.0
uniform_columns,0.0
skeleton_log,0.0
Peri_bin,0.0
use_alternative_skeleton,0.0
endpoint,0.0
complexity_score,0.0
led_density_estimate,0.0
area_perimeter_normalized,0.0
poly_13,0.0
intersection4,0.0
intersection5,0.0
intersection6,0.0
poly_6,0.0
temp_skeleton_length,0.0
distance_gradient,0.0
distance_unique_ratio,0.0
distance_outlier_ratio,0.0
poly_2,0.0
poly_1,0.0
poly_0,0.0
estimated_pitch_winsor,0.0
theoretical_led_count_winsor,0.0
uniform_columns_winsor,0.0
estimated_columns_winsor,0.0
distance_std_winsor,0.0
distance_peri_ratio_winsor,0.0
led_peri_estimate,0.0
distance_iqr_winsor,0.0
distance_90%_winsor,0.0
distance_75%_winsor,0.0
led_skeleton_estimate,0.0
distance_10%_winsor,0.0
Peri_rank,0.0
distance_average_winsor,0.0
distance_width_variance_winsor,0.0
Peri_winsor,0.0
Area_winsor,0.0
intersection6_winsor,0.0
intersection5_winsor,0.0
intersection4_winsor,0.0
skeleton_length_rank,0.0
Area_bin,0.0
skeleton_length_winsor,0.0
distance_skeleton_ratio_winsor,0.0
zunguri_winsor,0.0
complexity_winsor,0.0
rect_efficiency_winsor,0.0
non_uniform_pitch_winsor,0.0
non_uniform_columns_winsor,0.0
uniform_pitch_winsor,0.0
skeleton_length_bin,0.0
emission_width_winsor,0.0
tumeru_winsor,0.0
peri_skeleton_product_winsor,0.0
non_uniform_pitch,0.0
skeleton_log_winsor,0.0
skeleton_sqrt_winsor,0.0
peri_log_winsor,0.0
peri_sqrt_winsor,0.0
area_log_winsor,0.0
area_sqrt_winsor,0.0
estimated_columns,0.0
endpoint_density_winsor,0.0
intersection_density_winsor,0.0
distance_25%_winsor,0.0
